"description","category"
"Software freezing during updates","Software"
"Browser history not clearing","Software"
"Application UI not loading","Software"
"Teams stuck on connecting","Software"
"Outlook rules duplicating","Software"
"Password expired and cannot reset","Access"
"User locked out after failed logins","Access"
"Permission denied opening folder","Access"
"User needs access to shared mailbox","Access"
"MFA code not being received","Access"
"Account disabled due to inactivity","Access"
"Cannot access VPN due to credentials","Access"
"User requires admin rights","Access"
"Shared drive access removed","Access"
"User cannot access HR portal","Access"
"New employee needs system access","Access"
"Group membership not updating","Access"
"SSO login failing","Access"
"User cannot access finance system","Access"
"Incorrect permissions on project folder","Access"
"Two-factor authentication not working","Access"
"User cannot change password","Access"
"Access request pending too long","Access"
"Role-based access not applied","Access"
"User removed from security group","Access"
"User cannot access SharePoint","Access"
"VPN access revoked unexpectedly","Access"
"User cannot log into email","Access"
"Account locked due to policy","Access"
"User needs access to Teams group","Access"
"Permission denied editing document","Access"
"User cannot access Jira","Access"
"Access token expired","Access"
"User not found in directory","Access"
"User needs access to database","Access"
"Folder permissions incorrect","Access"
"User cannot authenticate via SSO","Access"
"Account locked after password change","Access"
"User cannot access OneDrive","Access"
"User needs elevated privileges","Access"
"Access revoked after role change","Access"
"User cannot access VPN portal","Access"
"Permission denied uploading files","Access"
"User cannot access payroll system","Access"
"User needs access to shared calendar","Access"
"User cannot access internal wiki","Access"
"User not added to distribution list","Access"
"User cannot access CRM","Access"
"User needs MFA reset","Access"
"User cannot access remote desktop","Access"
"Permission denied deleting files","Access"
"User cannot access ticketing system","Access"
"User needs access to Git repository","Access"
"User cannot access admin console","Access"
